number of clients,skew type,normalization,dataset,seed,stopped_epoch,test_loss,test_mae,test_r2,validation_loss,validation_r2
20,label_0.5,federated_yeo_johnson,Parkinson’s,3,84,44.35767746,5.055862405,0.6067696325077905,42.709720611572266,0.6406400615925283
20,label_0.5,local_yeo_johnson,Parkinson’s,3,84,41.68563079833984,4.880657707777616,0.6304573491241324,39.19811248779297,0.6701866730023933
20,label_5.0,default,Parkinson’s,3,3,163.70748901367188,10.068946893778849,-0.451265323,126.69641876220705,-0.066025128
10,quantity_0.7,local_robust_scaling,Parkinson’s,2,84,21.949447631835938,3.6008982352800687,0.8024675404812716,17.370065689086914,0.8596972835459173
20,label_5.0,federated_min_max,Parkinson’s,3,84,76.43284606933594,6.881589914376209,0.32242337427974166,70.61302185058594,0.4058613007575046
20,label_5.0,federated_z_score,Parkinson’s,3,84,37.71569824,4.670652167198136,0.665650704,34.419029235839844,0.7103979293349516
20,label_5.0,local_robust_scaling,Parkinson’s,3,84,62.22500228881836,6.193818526126377,0.44837592460741793,56.34572219848633,0.525906486
20,label_5.0,instance_norm,Parkinson’s,3,84,94.85244750976562,7.365606316514272,0.15913404715714674,97.20708465576172,0.18209861825827256
20,label_5.0,group_norm,Parkinson’s,3,36,114.6345215,8.100667369550491,-0.016233892,114.82752990722656,0.033840088
20,label_5.0,layer_norm,Parkinson’s,3,1,116.43096923828124,8.141266494605283,-0.032159154,121.71237182617188,-0.024089068
20,label_5.0,batch_norm,Parkinson’s,3,15,81.58456420898438,7.326163488419606,0.2767535680320593,78.31040192,0.3410954530506325
20,label_5.0,local_min_max,Parkinson’s,3,84,73.66405487060547,6.659287651313073,0.3469687362204067,69.23211669921875,0.4174802078253762
20,label_5.0,local_z_score,Parkinson’s,3,84,37.52815246582031,4.651751533206507,0.6673133396065021,34.27249526977539,0.7116308642008944
20,label_5.0,federated_yeo_johnson,Parkinson’s,3,84,39.531036376953125,4.811295263569109,0.6495577490104882,36.46557617,0.6931782353195148
20,label_5.0,local_yeo_johnson,Parkinson’s,3,84,38.00815963745117,4.701231258627134,0.6630580037996923,35.64370346069336,0.7000934719040819
20,feature_0.7,default,Parkinson’s,3,1,199.75457763671875,11.22008164512719,-0.770822233,160.91099548339844,-0.353906741
