number of clients,skew type,normalization,dataset,seed,stopped_epoch,test_accuracy,test_f1,test_loss,test_precision,test_recall,validation_accuracy,validation_loss
50,quantity_0.7,local_robust_scaling,CIFAR10,2,80,0.7187,0.7166681702882017,0.8111320734024048,0.7155447116969752,0.7187,0.732200027,0.7897889614105225
50,quantity_5.0,batch_norm,CIFAR10,1,80,0.7032,0.7022266644145618,0.871732235,0.7022629873598303,0.7032,0.7084000110626221,0.8620495796203613
50,quantity_5.0,instance_norm,CIFAR10,3,80,0.6756,0.6738066063243751,0.9473516345024108,0.6749184336126475,0.6756,0.6776000261306763,0.9541345834732056
50,quantity_5.0,local_min_max,CIFAR10,1,80,0.6458,0.6432344590119857,1.0182278156280518,0.642676724,0.6458,0.6485999822616577,1.028898835
50,quantity_0.7,instance_norm,CIFAR10,2,80,0.6904,0.6878171961244933,0.9092820286750792,0.6887905345356625,0.6904,0.6970000267028809,0.8979278206825256
50,quantity_5.0,group_norm,CIFAR10,3,80,0.6515,0.6490180837925329,1.0053422451019287,0.649166398,0.6515,0.659600019,1.008705973625183
50,quantity_5.0,local_z_score,CIFAR10,1,80,0.6945,0.6917522038446168,0.8806145787239075,0.6907418181684853,0.6945,0.7063999772071838,0.8694921135902405
50,quantity_0.7,group_norm,CIFAR10,2,80,0.723,0.7215206678727236,0.8314394354820251,0.7218578839410784,0.723,0.7257999777793884,0.8302382826805115
50,label_0.5,default,CIFAR10,1,80,0.5625,0.556345529,1.2895365953445437,0.5572880950159319,0.5625,0.5633999705314636,1.3027098178863523
50,quantity_5.0,layer_norm,CIFAR10,3,80,0.6873,0.6847443481637707,0.8904969692230225,0.6843877180363881,0.6873,0.6952000260353088,0.8790503740310669
50,label_0.5,federated_robust_scaling,CIFAR10,1,80,0.6155,0.6123962436338005,1.0878914594650269,0.6177279684264609,0.6155,0.6172000169754028,1.0956789255142212
50,quantity_0.7,batch_norm,CIFAR10,2,60,0.7275,0.726249905,0.7960713505744934,0.7265260743469638,0.7275,0.7368000149726868,0.7839415669441223
50,quantity_5.0,batch_norm,CIFAR10,3,80,0.7024,0.7011535440463432,0.8612398505210876,0.7048513542577899,0.7024,0.7089999914169312,0.8644896745681763
50,label_0.5,federated_min_max,CIFAR10,1,80,0.5596,0.5541665506755211,1.2721842527389526,0.5600497710812775,0.5596,0.5465999841690063,1.292059302330017
50,quantity_0.7,local_min_max,CIFAR10,2,80,0.6999,0.6987303868188242,0.8668383955955505,0.6993401178431009,0.6999,0.6984000205993652,0.8675530552864075
50,quantity_5.0,local_min_max,CIFAR10,3,80,0.6448,0.6416947358408883,1.0072879791259766,0.6403903177338204,0.6448,0.6485999822616577,1.0159329175949097
50,quantity_0.7,local_z_score,CIFAR10,2,80,0.7229,0.7207643125316882,0.7943198084831238,0.7202385545000344,0.7229,0.7355999946594238,0.7752376198768616
50,label_0.5,federated_z_score,CIFAR10,1,80,0.6369,0.6352901166681034,1.0546576976776123,0.6413625042059159,0.6369,0.6462000012397766,1.0572731494903564
50,quantity_5.0,local_z_score,CIFAR10,3,80,0.7057,0.703041031,0.860828698,0.7032538199113401,0.7057,0.7056000232696533,0.8475462794303894
50,quantity_5.0,default,CIFAR10,2,80,0.5964,0.5930371882064498,1.1678794622421265,0.5942939110327092,0.5964,0.5956000089645386,1.1758805513381958
50,label_0.5,default,CIFAR10,3,80,0.5355,0.5256453657286714,1.3522238731384275,0.5293648111445959,0.5355,0.5249999761581421,1.3700063228607178
50,label_0.5,local_robust_scaling,CIFAR10,1,80,0.6165,0.6152893375709857,1.1079655885696411,0.619824514,0.6165,0.6083999872207642,1.121521234512329
50,quantity_5.0,federated_robust_scaling,CIFAR10,2,80,0.6967,0.693188478,0.8701465129852295,0.6932738265525898,0.6967,0.7053999900817871,0.8658574223518372
50,label_0.5,federated_robust_scaling,CIFAR10,3,80,0.6167,0.6129393836401781,1.1111520528793335,0.6184629136039268,0.6167,0.6195999979972839,1.1149187088012695
